Map Width, Map Height, Planet ID, Planet X, Planet Y, Planet Radius, Planet Docking Spots
264,176,0,141.8967306658634,97.89673066586339,6.498045365408856,3
264,176,1,122.10326933413661,97.89673066586339,6.498045365408856,3
264,176,2,122.10326933413661,78.10326933413661,6.498045365408856,3
264,176,3,141.89673066586337,78.10326933413661,6.498045365408856,3
264,176,4,52.90456008889744,69.4815623974001,5.873776570581394,2
264,176,5,160.28270470215259,36.21131910582571,5.873776570581394,2
264,176,6,211.09543991110257,106.5184376025999,5.873776570581394,2
264,176,7,103.71729529784736,139.7886808941743,5.873776570581394,2
264,176,8,167.40375044051618,159.40731365914365,6.703981625722644,3
264,176,9,65.88211698227438,126.23605047575748,6.703981625722644,3
264,176,10,96.59624955948382,16.592686340856332,6.703981625722644,3
264,176,11,198.1178830177256,49.76394952424252,6.703981625722644,3
Map Width, Map Height, Planet ID, Planet X, Planet Y, Planet Radius, Planet Docking Spots
336,224,0,176.91919590617664,120.91919590617663,5.806823907988789,2
336,224,1,159.08080409382336,120.91919590617663,5.806823907988789,2
336,224,2,159.08080409382336,103.08080409382337,5.806823907988789,2
336,224,3,176.91919590617664,103.08080409382336,5.806823907988789,2
336,224,4,129.0803281190584,124.43093827054514,4.681260529013719,2
336,224,5,40.82193923211503,108.19582154547187,4.681260529013719,2
336,224,6,206.91967188094156,99.56906172945484,4.681260529013719,2
336,224,7,295.178060767885,115.80417845452813,4.681260529013719,2
336,224,8,77.87947949876657,44.60077692650226,8.564486831746589,3
336,224,9,289.1581271916447,61.866730317194644,8.564486831746589,3
336,224,10,258.12052050123344,179.39922307349772,8.564486831746589,3
336,224,11,46.84187280835519,162.1332696828053,8.564486831746589,3
Map Width, Map Height, Planet ID, Planet X, Planet Y, Planet Radius, Planet Docking Spots
336,224,0,178.5010158153587,122.5010158153587,6.925339492387317,3
336,224,1,157.4989841846413,122.5010158153587,6.925339492387317,3
336,224,2,157.4989841846413,101.4989841846413,6.925339492387317,3
336,224,3,178.5010158153587,101.4989841846413,6.925339492387317,3
336,224,4,281.81719524032604,140.8499811977038,6.508635364713401,3
336,224,5,189.34197631986063,195.66738323998686,6.508635364713401,3
336,224,6,75.52478107953458,166.81740204228308,6.508635364713401,3
336,224,7,54.18280475967393,83.15001880229619,6.508635364713401,3
336,224,8,146.65802368013928,28.332616760013124,6.508635364713401,3
336,224,9,260.4752189204654,57.182597957716915,6.508635364713401,3
336,224,10,316.00455281292693,108.37730982592988,11.185243659558942,4
336,224,11,243.17082111195498,119.1327495331531,11.185243659558942,4
336,224,12,19.995447187073097,115.62269017407012,11.185243659558942,4
336,224,13,92.82917888804502,104.8672504668469,11.185243659558942,4
Map Width, Map Height, Planet ID, Planet X, Planet Y, Planet Radius, Planet Docking Spots
264,176,0,141.6643222759365,97.66432227593651,6.333707816886917,3
264,176,1,122.33567772406349,97.66432227593651,6.333707816886917,3
264,176,2,122.33567772406349,78.33567772406349,6.333707816886917,3
264,176,3,141.6643222759365,78.33567772406349,6.333707816886917,3
264,176,4,100.08303463926497,139.76598380800684,10.52299149422636,4
264,176,5,85.9857921706606,52.09341396917309,10.52299149422636,4
264,176,6,163.91696536073502,36.23401619199316,10.52299149422636,4
264,176,7,178.0142078293394,123.9065860308269,10.52299149422636,4
264,176,8,72.98039960722659,24.042742218300077,4.634097356218182,2
264,176,9,228.36226839109457,48.827698854353926,4.634097356218182,2
264,176,10,191.01960039277344,151.95725778169992,4.634097356218182,2
264,176,11,35.637731608905455,127.17230114564609,4.634097356218182,2
Map Width, Map Height, Planet ID, Planet X, Planet Y, Planet Radius, Planet Docking Spots
264,176,0,139.0351376599745,95.0351376599745,4.474593545948826,2
264,176,1,124.9648623400255,95.0351376599745,4.474593545948826,2
264,176,2,124.9648623400255,80.9648623400255,4.474593545948826,2
264,176,3,139.03513765997448,80.9648623400255,4.474593545948826,2
264,176,4,117.33334244657257,30.260862974091097,9.355446708380288,4
264,176,5,162.6739165450141,60.39217401707778,9.355446708380288,4
264,176,6,146.66665755342743,145.73913702590892,9.355446708380288,4
264,176,7,101.32608345498589,115.60782598292224,9.355446708380288,4
264,176,8,68.9944302194265,36.97049209398148,6.412419018910402,3
264,176,9,191.99415118680554,34.409055588937456,6.412419018910402,3
264,176,10,195.00556978057352,139.0295079060185,6.412419018910402,3
264,176,11,72.00584881319448,141.59094441106254,6.412419018910402,3
Map Width, Map Height, Planet ID, Planet X, Planet Y, Planet Radius, Planet Docking Spots
240,160,0,129.5872669818692,89.5872669818692,6.279221495925597,3
240,160,1,110.4127330181308,89.5872669818692,6.279221495925597,3
240,160,2,110.4127330181308,70.4127330181308,6.279221495925597,3
240,160,3,129.5872669818692,70.4127330181308,6.279221495925597,3
240,160,4,66.98485076875414,59.06214070185942,6.31531724144768,3
240,160,5,140.93785929814058,26.984850768754143,6.31531724144768,3
240,160,6,173.01514923124586,100.93785929814058,6.31531724144768,3
240,160,7,99.06214070185943,133.01514923124586,6.31531724144768,3
240,160,8,151.02179551930809,128.40766965552223,10.151742693992151,4
240,160,9,57.24931711321194,103.9310994006091,10.151742693992151,4
240,160,10,88.9782044806919,31.592330344477787,10.151742693992151,4
240,160,11,182.75068288678807,56.068900599390886,10.151742693992151,4
Map Width, Map Height, Planet ID, Planet X, Planet Y, Planet Radius, Planet Docking Spots
288,192,0,154.38974555052658,106.38974555052657,6.8466595335801,3
288,192,1,133.61025444947342,106.38974555052657,6.8466595335801,3
288,192,2,133.61025444947342,85.61025444947343,6.8466595335801,3
288,192,3,154.38974555052658,85.61025444947342,6.8466595335801,3
288,192,4,89.7550889062627,61.82894168948828,10.757395869163817,4
288,192,5,213.44419094830792,64.51814907650395,10.757395869163817,4
288,192,6,267.68910204204525,98.68920738701564,10.757395869163817,4
288,192,7,198.2449110937373,130.1710583105117,10.757395869163817,4
288,192,8,74.55580905169201,127.48185092349604,10.757395869163817,4
288,192,9,20.31089795795475,93.31079261298436,10.757395869163817,4
288,192,10,180.88015008566038,48.67090618575318,6.8952332964831005,3
288,192,11,235.87412328647912,114.99886519564322,6.8952332964831005,3
288,192,12,107.11984991433955,143.32909381424682,6.8952332964831005,3
288,192,13,52.12587671352084,77.00113480435682,6.8952332964831005,3
Map Width, Map Height, Planet ID, Planet X, Planet Y, Planet Radius, Planet Docking Spots
312,208,0,164.24360932209245,112.24360932209245,5.329112053104207,2
312,208,1,147.75639067790755,112.24360932209245,5.329112053104207,2
312,208,2,147.75639067790755,95.75639067790755,5.329112053104207,2
312,208,3,164.24360932209245,95.75639067790755,5.329112053104207,2
312,208,4,16.29875693115079,103.66984667460183,10.700426163805457,4
312,208,5,204.8626921589295,103.05607268196724,10.700426163805457,4
312,208,6,295.7012430688492,104.33015332539817,10.700426163805457,4
312,208,7,107.13730784107054,104.94392731803276,10.700426163805457,4
312,208,8,57.554357690273605,75.82326906980958,13.043325396483887,5
312,208,9,229.73910434922175,66.38255944262488,13.043325396483887,5
312,208,10,254.44564230972637,132.17673093019042,13.043325396483887,5
312,208,11,82.26089565077827,141.61744055737512,13.043325396483887,5
Map Width, Map Height, Planet ID, Planet X, Planet Y, Planet Radius, Planet Docking Spots
312,208,0,164.5511777290187,112.55117772901868,5.54659575932049,2
312,208,1,147.4488222709813,112.55117772901868,5.54659575932049,2
312,208,2,147.4488222709813,95.44882227098132,5.54659575932049,2
312,208,3,164.5511777290187,95.44882227098132,5.54659575932049,2
312,208,4,157.01789267520957,30.035211227035816,4.5460884733955895,2
312,208,5,185.074186068374,68.99434948364701,4.5460884733955895,2
312,208,6,184.05629339316442,142.95913825661123,4.5460884733955895,2
312,208,7,154.98210732479043,177.9647887729642,4.5460884733955895,2
312,208,8,126.92581393162601,139.005650516353,4.5460884733955895,2
312,208,9,127.94370660683553,65.04086174338889,4.5460884733955895,2
312,208,10,264.87508833699763,105.67512349373156,4.6840670910331905,2
312,208,11,150.78318683380743,138.9598907504121,4.6840670910331905,2
312,208,12,47.124911663002365,102.32487650626844,4.6840670910331905,2
312,208,13,161.2168131661926,69.04010924958791,4.6840670910331905,2
Map Width, Map Height, Planet ID, Planet X, Planet Y, Planet Radius, Planet Docking Spots
264,176,0,141.8208625339925,97.82086253399252,6.4443984948870146,3
264,176,1,122.17913746600748,97.82086253399252,6.4443984948870146,3
264,176,2,122.17913746600748,78.17913746600748,6.4443984948870146,3
264,176,3,141.8208625339925,78.17913746600748,6.4443984948870146,3
264,176,4,111.07650111482954,142.79727681966756,7.419739270914732,3
264,176,5,58.93696424044323,72.30737583612216,7.419739270914732,3
264,176,6,152.92349888517043,33.20272318033242,7.419739270914732,3
264,176,7,205.06303575955678,103.69262416387782,7.419739270914732,3
264,176,8,202.58873207391548,65.55476995028567,5.318032453970474,2
264,176,9,237.57571171532294,103.00705327555683,5.318032453970474,2
264,176,10,61.411267926084534,110.44523004971433,5.318032453970474,2
264,176,11,26.424288284677047,72.99294672444317,5.318032453970474,2
Map Width, Map Height, Planet ID, Planet X, Planet Y, Planet Radius, Planet Docking Spots
288,192,0,153.1760998530886,105.17609985308859,5.988482430963826,2
288,192,1,134.8239001469114,105.17609985308859,5.988482430963826,2
288,192,2,134.8239001469114,86.82390014691141,5.988482430963826,2
288,192,3,153.1760998530886,86.8239001469114,5.988482430963826,2
288,192,4,109.23039185164976,40.62028478022579,13.832669759830779,5
288,192,5,255.71425311575143,78.76378399483492,13.832669759830779,5
288,192,6,178.76960814835024,151.3797152197742,13.832669759830779,5
288,192,7,32.28574688424858,113.23621600516509,13.832669759830779,5
288,192,8,121.80904589113274,174.95948469486956,7.034007505656246,3
288,192,9,75.50502532493243,70.41876123561133,7.034007505656246,3
288,192,10,166.1909541088673,17.04051530513044,7.034007505656246,3
288,192,11,212.49497467506757,121.58123876438866,7.034007505656246,3
Map Width, Map Height, Planet ID, Planet X, Planet Y, Planet Radius, Planet Docking Spots
360,240,0,190.3209729340471,130.3209729340471,6.798029950107521,3
360,240,1,169.6790270659529,130.3209729340471,6.798029950107521,3
360,240,2,169.6790270659529,109.67902706595291,6.798029950107521,3
360,240,3,190.3209729340471,109.6790270659529,6.798029950107521,3
360,240,4,124.43006354354341,210.2459504241042,11.328169577019988,4
360,240,5,51.39471327560233,127.81679175625486,11.328169577019988,4
360,240,6,106.96464973205889,37.57084133215071,11.328169577019988,4
360,240,7,235.56993645645662,29.754049575895834,11.328169577019988,4
360,240,8,308.6052867243976,112.18320824374504,11.328169577019988,4
360,240,9,253.0353502679411,202.4291586678493,11.328169577019988,4
360,240,10,232.77944949064343,141.61493775122827,13.027544109707748,5
360,240,11,140.37261412274816,148.78879063126004,13.027544109707748,5
360,240,12,127.22055050935657,98.38506224877173,13.027544109707748,5
360,240,13,219.62738587725184,91.21120936873994,13.027544109707748,5
Map Width, Map Height, Planet ID, Planet X, Planet Y, Planet Radius, Planet Docking Spots
312,208,0,166.06029958071207,114.06029958071207,6.6137060542896835,3
312,208,1,145.93970041928793,114.06029958071207,6.6137060542896835,3
312,208,2,145.93970041928793,93.93970041928793,6.6137060542896835,3
312,208,3,166.06029958071207,93.93970041928793,6.6137060542896835,3
312,208,4,188.7332537932992,44.227091261050006,9.793435193623626,4
312,208,5,208.46580378584747,114.7632631653845,9.793435193623626,4
312,208,6,175.73254999254823,174.53617190433454,9.793435193623626,4
312,208,7,123.26674620670083,163.77290873895004,9.793435193623626,4
312,208,8,103.53419621415253,93.2367368346155,9.793435193623626,4
312,208,9,136.26745000745174,33.46382809566546,9.793435193623626,4
312,208,10,234.51470081261226,152.92242709776258,4.218056571021729,2
312,208,11,24.68190621126888,133.25057481254183,4.218056571021729,2
312,208,12,77.4852991873877,55.077572902237435,4.218056571021729,2
312,208,13,287.31809378873106,74.74942518745817,4.218056571021729,2
Map Width, Map Height, Planet ID, Planet X, Planet Y, Planet Radius, Planet Docking Spots
336,224,0,176.59627433229107,120.59627433229106,5.578483873302871,2
336,224,1,159.40372566770893,120.59627433229106,5.578483873302871,2
336,224,2,159.40372566770893,103.40372566770894,5.578483873302871,2
336,224,3,176.59627433229105,103.40372566770894,5.578483873302871,2
336,224,4,260.9369827366121,72.56416797715352,14.442640949987444,5
336,224,5,277.437038515759,135.93539273487198,14.442640949987444,5
336,224,6,184.5000557791469,175.3712247577185,14.442640949987444,5
336,224,7,75.06301726338802,151.4358320228465,14.442640949987444,5
336,224,8,58.562961484241015,88.06460726512802,14.442640949987444,5
336,224,9,151.4999442208531,48.62877524228151,14.442640949987444,5
336,224,10,92.75785121354012,40.0280270833578,7.530941892946751,3
336,224,11,313.72103158431264,74.8377191969314,7.530941892946751,3
336,224,12,243.2421487864599,183.9719729166422,7.530941892946751,3
336,224,13,22.278968415687416,149.1622808030686,7.530941892946751,3
