Map Width, Map Height, Ship ID, Ship X, Ship Y
264,176,0,66.0,88.0
264,176,1,66.0,85.0
264,176,2,66.0,91.0
264,176,3,198.0,88.0
264,176,4,198.0,85.0
264,176,5,198.0,91.0
Map Width, Map Height, Ship ID, Ship X, Ship Y
336,224,0,84.0,112.0
336,224,1,84.0,109.0
336,224,2,84.0,115.0
336,224,3,252.0,112.0
336,224,4,252.0,109.0
336,224,5,252.0,115.0
Map Width, Map Height, Ship ID, Ship X, Ship Y
336,224,0,168.0,56.0
336,224,1,168.0,53.0
336,224,2,168.0,59.0
336,224,3,168.0,168.0
336,224,4,168.0,165.0
336,224,5,168.0,171.0
Map Width, Map Height, Ship ID, Ship X, Ship Y
264,176,0,66.0,88.0
264,176,1,66.0,85.0
264,176,2,66.0,91.0
264,176,3,198.0,88.0
264,176,4,198.0,85.0
264,176,5,198.0,91.0
Map Width, Map Height, Ship ID, Ship X, Ship Y
264,176,0,66.0,88.0
264,176,1,66.0,85.0
264,176,2,66.0,91.0
264,176,3,198.0,88.0
264,176,4,198.0,85.0
264,176,5,198.0,91.0
Map Width, Map Height, Ship ID, Ship X, Ship Y
240,160,0,120.0,40.0
240,160,1,120.0,37.0
240,160,2,120.0,43.0
240,160,3,120.0,120.0
240,160,4,120.0,117.0
240,160,5,120.0,123.0
Map Width, Map Height, Ship ID, Ship X, Ship Y
288,192,0,144.0,48.0
288,192,1,144.0,45.0
288,192,2,144.0,51.0
288,192,3,144.0,144.0
288,192,4,144.0,141.0
288,192,5,144.0,147.0
Map Width, Map Height, Ship ID, Ship X, Ship Y
312,208,0,156.0,52.0
312,208,1,156.0,49.0
312,208,2,156.0,55.0
312,208,3,156.0,156.0
312,208,4,156.0,153.0
312,208,5,156.0,159.0
Map Width, Map Height, Ship ID, Ship X, Ship Y
312,208,0,78.0,104.0
312,208,1,78.0,101.0
312,208,2,78.0,107.0
312,208,3,234.0,104.0
312,208,4,234.0,101.0
312,208,5,234.0,107.0
Map Width, Map Height, Ship ID, Ship X, Ship Y
264,176,0,132.0,44.0
264,176,1,132.0,41.0
264,176,2,132.0,47.0
264,176,3,132.0,132.0
264,176,4,132.0,129.0
264,176,5,132.0,135.0
Map Width, Map Height, Ship ID, Ship X, Ship Y
288,192,0,72.0,96.0
288,192,1,72.0,93.0
288,192,2,72.0,99.0
288,192,3,216.0,96.0
288,192,4,216.0,93.0
288,192,5,216.0,99.0
Map Width, Map Height, Ship ID, Ship X, Ship Y
360,240,0,180.0,60.0
360,240,1,180.0,57.0
360,240,2,180.0,63.0
360,240,3,180.0,180.0
360,240,4,180.0,177.0
360,240,5,180.0,183.0
Map Width, Map Height, Ship ID, Ship X, Ship Y
312,208,0,78.0,104.0
312,208,1,78.0,101.0
312,208,2,78.0,107.0
312,208,3,234.0,104.0
312,208,4,234.0,101.0
312,208,5,234.0,107.0
Map Width, Map Height, Ship ID, Ship X, Ship Y
336,224,0,84.0,112.0
336,224,1,84.0,109.0
336,224,2,84.0,115.0
336,224,3,252.0,112.0
336,224,4,252.0,109.0
336,224,5,252.0,115.0
